,Player,DraftKings,Caesars,FanDuel,BetOnline.ag,BetRivers,BetMGM,Bovada
297,Craig Reynolds,1900,N/A,1900,1900,1400,1600,1900
298,John FitzPatrick,2200,N/A,N/A,2400,2500,2800,2200
299,Kyren Williams,-210,N/A,N/A,-200,N/A,-250,-210
300,Kenneth Walker III,-115,N/A,N/A,-125,N/A,-120,-115
301,Tyler Lockett,130,N/A,N/A,150,N/A,130,130
302,Jaxon Smith-Njigba,130,N/A,N/A,160,N/A,150,130
303,Cooper Kupp,125,N/A,N/A,120,N/A,130,125
304,Puka Nacua,150,N/A,N/A,140,N/A,140,150
305,Jake Bobo,255,N/A,N/A,350,N/A,450,255
306,Demarcus Robinson,250,N/A,N/A,240,N/A,240,250
307,Noah Fant,300,N/A,N/A,N/A,N/A,310,300
308,Zach Charbonnet,340,N/A,N/A,350,N/A,350,340
309,Colby Parkinson,320,N/A,N/A,350,N/A,350,320
310,Blake Corum,500,N/A,N/A,550,N/A,700,500
311,Tyler Higbee,425,N/A,N/A,N/A,N/A,N/A,425
312,Geno Smith,700,N/A,N/A,600,N/A,650,700
313,Tutu Atwell,500,N/A,N/A,N/A,N/A,500,500
314,Seattle Seahawks D/ST,500,N/A,N/A,N/A,N/A,550,500
315,Los Angeles Rams D/ST,500,N/A,N/A,N/A,N/A,550,N/A
316,Laviska Shenault Jr,750,N/A,N/A,900,N/A,1200,750
317,Tyler Johnson,600,N/A,N/A,N/A,N/A,550,600
318,Pharaoh Brown,850,N/A,N/A,800,N/A,900,850
319,AJ Barner,750,N/A,N/A,550,N/A,750,750
320,Jordan Whittington,850,N/A,N/A,N/A,N/A,1000,850
321,Matthew Stafford,1200,N/A,N/A,1400,N/A,1400,1200
322,Dareke Young,1400,N/A,N/A,1700,N/A,1000,1400
323,Ronnie Rivers,1600,N/A,N/A,1700,N/A,1500,1600
324,Hunter Long,1200,N/A,N/A,1300,N/A,1200,1200
325,Xavier Smith,1800,N/A,N/A,1900,N/A,2000,1800
326,Kenny McIntosh,1800,N/A,N/A,1900,N/A,2000,1800
327,Davis Allen,2000,N/A,N/A,1900,N/A,2200,2000
328,Aaron Jones,-135,N/A,-135,-143,-200,-145,-136
329,Justin Jefferson,-130,N/A,-120,-143,-195,-120,-130
330,Jonathan Taylor,-165,N/A,105,-125,-167,-125,-164
331,Jordan Addison,180,N/A,210,200,170,200,180
332,T.J. Hockenson,190,N/A,230,210,180,210,190
