Player,TD_Likelihood,Model_Odds,Favor
Will Mallory,0.06,1566.6666666666667,1
Adonai Mitchell,0.16,525.0,1
Drew Ogletree,0.11,809.0909090909091,1
Alec Pierce,0.26,284.6153846153846,1
Michael Pittman Jr.,0.29,244.82758620689657,1
Devin Duvernay,0.18,455.55555555555554,1
Evan Engram,0.22,354.54545454545456,1
Luke Farrell,0.1,900.0,1
Tim Jones,0.04,2400.0,1
Josh Reynolds,0.5,-100.0,-1
Brenton Strange,0.15,566.6666666666667,1
Brian Thomas Jr.,0.49,104.08163265306123,1
Parker Washington,0.16,525.0,1
Noah Gray,0.13,669.2307692307692,1
Mecole Hardman,0.02,4900.0,1
DeAndre Hopkins,0.31,222.5806451612903,1
Travis Kelce,0.27,270.3703703703703,1
JuJu Smith-Schuster,0.08,1150.0,1
Justin Watson,0.06,1566.6666666666667,1
Xavier Worthy,0.36,177.77777777777777,1
Brock Bowers,0.37,170.27027027027026,1
Harrison Bryant,0.03,3233.3333333333335,1
Ramel Keyton,0.03,3233.3333333333335,1
Michael Mayer,0.07,1328.5714285714284,1
Jakobi Meyers,0.22,354.54545454545456,1
Tre Tucker,0.34,194.11764705882354,1
Derius Davis,0.1,900.0,1
Will Dissly,0.19,426.31578947368416,1
Tucker Fisk,0.06,1566.6666666666667,1
Quentin Johnston,0.3,233.33333333333337,1
Ladd McConkey,0.43,132.55813953488374,1
Joshua Palmer,0.14,614.2857142857142,1
Jalen Reagor,0.02,4900.0,1
Stone Smartt,0.03,3233.3333333333335,1
Davis Allen,0.08,1150.0,1
Tutu Atwell,0.17,488.2352941176471,1
Tyler Johnson,0.04,2400.0,1
Cooper Kupp,0.31,222.5806451612903,1
Puka Nacua,0.53,-112.76595744680851,-1
Colby Parkinson,0.09,1011.1111111111111,1
Demarcus Robinson,0.28,257.1428571428571,1
Jordan Whittington,0.45,122.22222222222223,1
Odell Beckham Jr.,0.06,1566.6666666666667,1
Dee Eskridge,0.04,2400.0,1
Julian Hill,0.11,809.0909090909091,1
Tyreek Hill,0.25,300.0,1
Jonnu Smith,0.36,177.77777777777777,1
Durham Smythe,0.06,1566.6666666666667,1
Jack Stoll,0.01,9900.0,1
Jaylen Waddle,0.29,244.82758620689657,1
Malik Washington,0.15,566.6666666666667,1
Jordan Addison,0.23,334.78260869565213,1
T.J. Hockenson,0.33,203.030303030303,1
Justin Jefferson,0.42,138.0952380952381,1
Johnny Mundt,0.17,488.2352941176471,1
Jalen Nailor,0.18,455.55555555555554,1
Josh Oliver,0.1,900.0,1
Brandon Powell,0.05,1900.0,1
Trent Sherfield Sr.,0.03,3233.3333333333335,1
Kendrick Bourne,0.23,334.78260869565213,1
Kayshon Boutte,0.07,1328.5714285714284,1
DeMario Douglas,0.18,455.55555555555554,1
Hunter Henry,0.33,203.030303030303,1
Austin Hooper,0.17,488.2352941176471,1
K.J. Osborn,0.14,614.2857142857142,1
Ja'Lynn Polk,0.09,1011.1111111111111,1
Taysom Hill,0.2,400.0,1
Juwan Johnson,0.04,2400.0,1
Foster Moreau,0.1,900.0,1
Mason Tipton,0.03,3233.3333333333335,1
Marquez Valdes-Scantling,0.14,614.2857142857142,1
Cedrick Wilson Jr.,0.06,1566.6666666666667,1
Greg Dulcich,0.04,2400.0,1
Jalin Hyatt,0.11,809.0909090909091,1
Malik Nabers,0.43,132.55813953488374,1
Wan'Dale Robinson,0.32,212.5,1
Darius Slayton,0.45,122.22222222222223,1
Davante Adams,0.28,257.1428571428571,1
Tyler Conklin,0.34,194.11764705882354,1
Malachi Corley,0.15,566.6666666666667,1
Xavier Gipson,0.04,2400.0,1
Jeremy Ruckert,0.06,1566.6666666666667,1
Garrett Wilson,0.19,426.31578947368416,1
Kenny Yeboah,0.01,9900.0,1
A.J. Brown,0.27,270.3703703703703,1
Grant Calcaterra,0.2,400.0,1
Britain Covey,0.12,733.3333333333334,1
Jahan Dotson,0.1,900.0,1
Dallas Goedert,0.22,354.54545454545456,1
Ainias Smith,0.03,3233.3333333333335,1
DeVonta Smith,0.2,400.0,1
Johnny Wilson,0.01,9900.0,1
Calvin Austin III,0.12,733.3333333333334,1
Pat Freiermuth,0.22,354.54545454545456,1
Van Jefferson,0.2,400.0,1
Scotty Miller,0.03,3233.3333333333335,1
George Pickens,0.16,525.0,1
MyCole Pruitt,0.15,566.6666666666667,1
Ben Skowronek,0.08,1150.0,1
Darnell Washington,0.11,809.0909090909091,1
Chris Conley,0.08,1150.0,1
Jacob Cowing,0.01,9900.0,1
Jauan Jennings,0.24,316.6666666666667,1
George Kittle,0.37,170.27027027027026,1
Ricky Pearsall,0.11,809.0909090909091,1
Deebo Samuel Sr.,0.24,316.6666666666667,1
Eric Saubert,0.02,4900.0,1
AJ Barner,0.1,900.0,1
Jake Bobo,0.03,3233.3333333333335,1
Pharaoh Brown,0.04,2400.0,1
Noah Fant,0.28,257.1428571428571,1
Tyler Lockett,0.17,488.2352941176471,1
DK Metcalf,0.25,300.0,1
Jaxon Smith-Njigba,0.4,150.0,1
Cody White,0.04,2400.0,1
Payne Durham,0.05,1900.0,1
Mike Evans,0.62,-163.1578947368421,-1
Rakim Jarrett,0.06,1566.6666666666667,1
Jalen McMillan,0.15,566.6666666666667,1
Ryan Miller,0.11,809.0909090909091,1
Cade Otton,0.18,455.55555555555554,1
Trey Palmer,0.08,1150.0,1
Sterling Shepard,0.2,400.0,1
Tyler Boyd,0.15,566.6666666666667,1
Chig Okonkwo,0.18,455.55555555555554,1
Bryce Oliver,0.05,1900.0,1
Calvin Ridley,0.28,257.1428571428571,1
Nick Vannett,0.06,1566.6666666666667,1
Nick Westbrook-Ikhine,0.14,614.2857142857142,1
Josh Whyle,0.03,3233.3333333333335,1
John Bates,0.03,3233.3333333333335,1
Dyami Brown,0.25,300.0,1
Noah Brown,0.34,194.11764705882354,1
Zach Ertz,0.32,212.5,1
Luke McCaffrey,0.07,1328.5714285714284,1
Terry McLaurin,0.43,132.55813953488374,1
Ben Sinnott,0.02,4900.0,1
Olamide Zaccheaus,0.11,809.0909090909091,1
