Player,TD_Likelihood,Model_Odds,Favor
Travis Kelce,0.28,257.1428571428571,1
JuJu Smith-Schuster,0.11,809.0909090909091,1
Justin Watson,0.15,566.6666666666667,1
Harrison Bryant,0.02,4900.0,1
Terrace Marshall Jr.,0.16,525.0,1
Michael Mayer,0.05,1900.0,1
Jakobi Meyers,0.29,244.82758620689657,1
Tre Tucker,0.23,334.78260869565213,1
DJ Chark Jr.,0.07,1328.5714285714284,1
Derius Davis,0.06,1566.6666666666667,1
Will Dissly,0.18,455.55555555555554,1
Tucker Fisk,0.05,1900.0,1
Quentin Johnston,0.21,376.1904761904762,1
Joshua Palmer,0.26,284.6153846153846,1
Stone Smartt,0.2,400.0,1
Davis Allen,0.01,9900.0,1
Tutu Atwell,0.15,566.6666666666667,1
Tyler Higbee,0.09,1011.1111111111111,1
Tyler Johnson,0.03,3233.3333333333335,1
Cooper Kupp,0.29,244.82758620689657,1
Hunter Long,0.09,1011.1111111111111,1
Puka Nacua,0.53,-112.76595744680851,-1
Colby Parkinson,0.06,1566.6666666666667,1
Demarcus Robinson,0.27,270.3703703703703,1
River Cracraft,0.32,212.5,1
Dee Eskridge,0.05,1900.0,1
Erik Ezukanma,0.64,-177.77777777777777,-1
Julian Hill,0.01,9900.0,1
Tyreek Hill,0.32,212.5,1
Jonnu Smith,0.39,156.4102564102564,1
Durham Smythe,0.18,455.55555555555554,1
Jack Stoll,0.01,9900.0,1
Jaylen Waddle,0.32,212.5,1
Jordan Addison,0.23,334.78260869565213,1
T.J. Hockenson,0.49,104.08163265306123,1
Justin Jefferson,0.49,104.08163265306123,1
Johnny Mundt,0.09,1011.1111111111111,1
Jalen Nailor,0.2,400.0,1
Josh Oliver,0.06,1566.6666666666667,1
Brandon Powell,0.04,2400.0,1
Trent Sherfield Sr.,0.02,4900.0,1
Kendrick Bourne,0.2,400.0,1
Kayshon Boutte,0.31,222.5806451612903,1
DeMario Douglas,0.15,566.6666666666667,1
Hunter Henry,0.26,284.6153846153846,1
Austin Hooper,0.23,334.78260869565213,1
Kevin Austin Jr.,0.11,809.0909090909091,1
Juwan Johnson,0.1,900.0,1
Foster Moreau,0.08,1150.0,1
Dante Pettis,0.12,733.3333333333334,1
Marquez Valdes-Scantling,0.25,300.0,1
Cedrick Wilson Jr.,0.09,1011.1111111111111,1
Daniel Bellinger,0.17,488.2352941176471,1
Greg Dulcich,0.07,1328.5714285714284,1
Jalin Hyatt,0.09,1011.1111111111111,1
Chris Manhertz,0.05,1900.0,1
Wan'Dale Robinson,0.38,163.15789473684208,1
Darius Slayton,0.27,270.3703703703703,1
Davante Adams,0.51,-104.08163265306122,-1
Tyler Conklin,0.28,257.1428571428571,1
Allen Lazard,0.34,194.11764705882354,1
Jeremy Ruckert,0.06,1566.6666666666667,1
Garrett Wilson,0.25,300.0,1
Kenny Yeboah,0.02,4900.0,1
A.J. Brown,0.28,257.1428571428571,1
Grant Calcaterra,0.19,426.31578947368416,1
Jahan Dotson,0.01,9900.0,1
DeVonta Smith,0.33,203.030303030303,1
Calvin Austin III,0.31,222.5806451612903,1
Pat Freiermuth,0.34,194.11764705882354,1
Connor Heyward,0.08,1150.0,1
Van Jefferson,0.15,566.6666666666667,1
Scotty Miller,0.12,733.3333333333334,1
George Pickens,0.2,400.0,1
MyCole Pruitt,0.05,1900.0,1
Ben Skowronek,0.08,1150.0,1
Darnell Washington,0.07,1328.5714285714284,1
Mike Williams,0.16,525.0,1
Chris Conley,0.08,1150.0,1
Jauan Jennings,0.31,222.5806451612903,1
George Kittle,0.34,194.11764705882354,1
Deebo Samuel Sr.,0.29,244.82758620689657,1
Eric Saubert,0.05,1900.0,1
Jake Bobo,0.05,1900.0,1
Pharaoh Brown,0.04,2400.0,1
Noah Fant,0.2,400.0,1
Tyler Lockett,0.3,233.33333333333337,1
DK Metcalf,0.34,194.11764705882354,1
Jaxon Smith-Njigba,0.5,-100.0,-1
Cody White,0.05,1900.0,1
Payne Durham,0.17,488.2352941176471,1
Mike Evans,0.21,376.1904761904762,1
Rakim Jarrett,0.09,1011.1111111111111,1
Ryan Miller,0.09,1011.1111111111111,1
Cade Otton,0.27,270.3703703703703,1
Trey Palmer,0.06,1566.6666666666667,1
Sterling Shepard,0.15,566.6666666666667,1
Tyler Boyd,0.05,1900.0,1
Mason Kinsey,0.07,1328.5714285714284,1
Chig Okonkwo,0.39,156.4102564102564,1
Calvin Ridley,0.3,233.33333333333337,1
Nick Vannett,0.09,1011.1111111111111,1
Nick Westbrook-Ikhine,0.09,1011.1111111111111,1
Josh Whyle,0.12,733.3333333333334,1
John Bates,0.1,900.0,1
Dyami Brown,0.11,809.0909090909091,1
Jamison Crowder,0.07,1328.5714285714284,1
Zach Ertz,0.19,426.31578947368416,1
Terry McLaurin,0.41,143.90243902439025,1
K.J. Osborn,0.05,1900.0,1
Olamide Zaccheaus,0.21,376.1904761904762,1
