Player,DraftKings,BetMGM,FanDuel,BetOnline.ag,BetRivers,Bovada
Jordan Mims,1000,N/A,N/A,N/A,N/A,N/A
Kevin Austin,380,N/A,N/A,N/A,N/A,N/A
Mason Tipton,425,N/A,N/A,N/A,N/A,N/A
Marquez Valdes-Scantling,280,N/A,N/A,N/A,N/A,N/A
New Orleans Saints D/ST,500,N/A,N/A,N/A,N/A,N/A
Olamide Zaccheaus,475,N/A,N/A,N/A,N/A,N/A
Foster Moreau,475,N/A,N/A,450,N/A,N/A
John Bates,900,N/A,N/A,N/A,N/A,N/A
Alvin Kamara,115,N/A,N/A,110,N/A,N/A
Jeremy McNichols,400,N/A,N/A,N/A,N/A,N/A
Luke McCaffrey,600,N/A,N/A,N/A,N/A,N/A
Jamaal Williams,450,N/A,N/A,N/A,N/A,N/A
Elijah Higgins,600,N/A,1400,600,N/A,N/A
Javon Baker,900,N/A,N/A,900,N/A,N/A
Zach Pascal,1100,N/A,2100,1100,N/A,N/A
Rhamondre Stevenson,100,N/A,110,100,N/A,N/A
Michael Wilson,210,N/A,250,210,N/A,N/A
Antonio Gibson,350,N/A,460,350,N/A,N/A
JaMycal Hasty,850,N/A,N/A,800,N/A,N/A
Ja'Lynn Polk,500,N/A,950,500,N/A,N/A
Kayshon Boutte,275,N/A,330,270,N/A,N/A
Zay Jones,550,N/A,650,550,N/A,N/A
New England Patriots D/ST,500,N/A,N/A,N/A,N/A,N/A
Arizona Cardinals D/ST,425,N/A,N/A,N/A,N/A,N/A
Marvin Harrison Jr.,135,N/A,150,130,N/A,N/A
Drake Maye,330,N/A,350,325,N/A,N/A
Xavier Weaver,1200,N/A,N/A,1100,N/A,N/A
Kendrick Bourne,275,N/A,430,270,N/A,N/A
Kyler Murray,175,N/A,240,170,N/A,N/A
James Conner,-155,N/A,-210,-167,N/A,N/A
Trey McBride,170,N/A,170,170,N/A,N/A
Austin Hooper,350,N/A,400,350,N/A,N/A
Greg Dortch,650,N/A,900,650,N/A,N/A
Emari Demercado,500,N/A,340,500,N/A,N/A
Tip Reiman,700,N/A,700,700,N/A,N/A
Hunter Henry,280,N/A,290,280,N/A,N/A
Trey Benson,310,N/A,340,300,N/A,N/A
Travis Vokolek,1600,N/A,N/A,1400,N/A,N/A
Jaheim Bell,1200,N/A,2500,1100,N/A,N/A
DeeJay Dallas,1900,N/A,3100,1900,N/A,N/A
DeMario Douglas,330,N/A,330,325,N/A,N/A
Reggie Gilliam,1900,2000,2100,1900,1800,N/A
Sione Vaki,2200,3000,2900,1900,2500,N/A
Dawson Knox,300,310,190,300,360,N/A
Amari Cooper,130,155,180,130,180,N/A
Quintin Morris,1700,1800,1000,1700,2500,N/A
Curtis Samuel,650,650,500,650,600,N/A
Dalton Kincaid,210,210,190,210,195,N/A
Maurice Alexander,2200,3300,3600,1900,2200,N/A
Ty Johnson,500,550,750,500,600,N/A
Buffalo Bills D/ST,600,N/A,N/A,N/A,N/A,N/A
James Cook,-135,-130,-110,-143,-132,N/A
Sam LaPorta,175,190,160,170,160,N/A
Mack Hollins,295,300,330,290,360,N/A
Jahmyr Gibbs,-170,-155,-150,-200,-186,N/A
Jameson Williams,185,200,190,180,180,N/A
Amon-Ra St. Brown,-105,100,-110,-111,-117,N/A
Ray Davis,400,450,550,400,475,N/A
Craig Reynolds,2200,2800,2900,1900,2500,N/A
Shane Zylstra,1100,1400,1100,1100,1000,N/A
Jalen Virgil,1700,2500,2600,1700,2500,N/A
Allen Robinson II,900,2200,2400,N/A,1200,N/A
Jared Goff,850,1300,1200,800,1150,N/A
Khalil Shakir,170,175,170,170,175,N/A
Brock Wright,850,1100,1100,800,700,N/A
Josh Allen,115,115,120,110,-105,N/A
Detroit Lions D/ST,550,N/A,N/A,N/A,N/A,N/A
Tim Patrick,275,350,360,270,290,N/A
Keon Coleman,180,190,180,180,190,N/A
David Montgomery,-160,-155,-150,-167,-186,N/A
Josh Downs,275,275,290,270,N/A,N/A
Drew Ogletree,1400,2200,2400,1400,N/A,N/A
Lil'Jordan Humphrey,450,650,700,450,N/A,N/A
Mo Alie-Cox,1100,1200,1100,1100,N/A,N/A
Michael Burton,1300,1500,1400,1300,N/A,N/A
Devaughn Vele,270,275,270,270,N/A,N/A
Troy Franklin,425,400,330,400,N/A,N/A
Nate Adkins,1100,1200,1000,1100,N/A,N/A
Adam Trautman,425,600,600,400,N/A,N/A
Indianapolis Colts D/ST,450,N/A,N/A,N/A,N/A,N/A
Tyler Goodson,2500,2800,1800,2400,N/A,N/A
Denver Broncos D/ST,425,N/A,N/A,N/A,N/A,N/A
Michael Pittman Jr.,300,300,310,300,N/A,N/A
Anthony Richardson,185,185,120,180,N/A,N/A
Audric Estime,450,550,600,450,N/A,N/A
Anthony Gould,1800,2000,N/A,1700,N/A,N/A
Jonathan Taylor,105,100,-120,100,N/A,N/A
Trey Sermon,2000,2200,1400,1900,N/A,N/A
Ashton Dulin,750,1100,N/A,750,N/A,N/A
Alec Pierce,245,350,500,240,N/A,N/A
Jaleel McLaughlin,240,260,270,240,N/A,N/A
Lucas Krull,600,1000,1000,600,N/A,N/A
Kylen Granson,1000,1200,1200,1000,N/A,N/A
Adonai Mitchell,390,550,950,350,N/A,N/A
Will Mallory,3000,3300,2400,2900,N/A,N/A
Marvin Mims Jr.,400,400,440,400,N/A,N/A
Javonte Williams,125,150,130,120,N/A,N/A
Courtland Sutton,130,135,125,130,N/A,N/A
Bo Nix,245,310,300,240,N/A,N/A
Sean Tucker,235,N/A,N/A,230,N/A,N/A
Mike Evans,115,N/A,N/A,110,N/A,N/A
Kimani Vidal,210,N/A,N/A,210,N/A,N/A
Payne Durham,2200,N/A,N/A,1900,N/A,N/A
Devin Culp,2200,N/A,N/A,1900,N/A,N/A
Jalen Reagor,700,N/A,N/A,700,N/A,N/A
Ko Kieft,2200,N/A,N/A,1900,N/A,N/A
Rakim Jarrett,1600,N/A,N/A,1400,N/A,N/A
Baker Mayfield,450,N/A,N/A,450,N/A,N/A
Trey Palmer,550,N/A,N/A,550,N/A,N/A
Los Angeles Chargers D/ST,450,N/A,N/A,N/A,N/A,N/A
Sterling Shepard,290,N/A,N/A,290,N/A,N/A
Bucky Irving,130,N/A,N/A,130,N/A,N/A
Gus Edwards,-125,N/A,N/A,-125,N/A,N/A
Rachaad White,130,N/A,N/A,130,N/A,N/A
DJ Chark Jr.,700,N/A,N/A,N/A,N/A,N/A
Hassan Haskins,550,N/A,N/A,550,N/A,N/A
Cade Otton,200,N/A,N/A,200,N/A,N/A
Quentin Johnston,150,N/A,N/A,150,N/A,N/A
Jalen McMillan,205,N/A,N/A,200,N/A,N/A
Justin Herbert,230,N/A,N/A,230,N/A,N/A
Joshua Palmer,175,N/A,N/A,170,N/A,N/A
Tucker Fisk,600,N/A,N/A,600,N/A,N/A
Derius Davis,500,N/A,N/A,500,N/A,N/A
Ladd McConkey,160,N/A,N/A,160,N/A,N/A
Tampa Bay Buccaneers D/ST,450,N/A,N/A,N/A,N/A,N/A
Ryan Miller,900,N/A,N/A,900,N/A,N/A
Stone Smartt,340,N/A,N/A,325,N/A,N/A
Van Jefferson,390,400,380,350,310,N/A
Jahan Dotson,650,1200,1400,650,900,N/A
Johnny Wilson,900,1400,1600,900,1000,N/A
Darnell Washington,700,750,1000,700,600,N/A
Jalen Hurts,-135,-130,-120,-143,-105,N/A
MyCole Pruitt,1400,2000,2100,1400,800,N/A
A.J. Brown,125,140,150,120,116,N/A
Grant Calcaterra,390,500,550,350,440,N/A
CJ Uzomah,1100,1500,2000,1100,1050,N/A
Jaylen Warren,235,250,300,230,250,N/A
Russell Wilson,650,750,800,650,650,N/A
Pittsburgh Steelers D/ST,550,N/A,N/A,N/A,N/A,N/A
Pat Freiermuth,260,300,340,260,280,N/A
E.J. Jenkins,3000,3500,4000,2900,2500,N/A
Connor Heyward,1800,1800,2500,1700,1400,N/A
Philadelphia Eagles D/ST,500,N/A,N/A,N/A,N/A,N/A
Mike Williams,550,550,500,550,460,N/A
DeVonta Smith,185,210,230,180,195,N/A
Kenneth Gainwell,600,750,750,600,750,N/A
Scott Miller,500,750,1100,500,700,N/A
Calvin Austin III,310,333,420,300,325,N/A
Britain Covey,1700,2200,2900,1700,1900,N/A
Will Shipley,1100,1600,1800,1100,1500,N/A
Saquon Barkley,-180,-190,-185,-200,-175,N/A
Cordarrelle Patterson,1000,1100,1300,1000,700,N/A
Ainias Smith,2200,2500,2900,1900,2000,N/A
Najee Harris,110,120,130,110,128,N/A
Justin Fields,700,700,N/A,700,N/A,N/A
Ben Skowronek,1000,1100,1900,1000,750,N/A
Noah Fant,450,N/A,460,450,N/A,N/A
Malik Heath,1100,N/A,1300,1100,N/A,N/A
Jordan Love,550,N/A,700,550,N/A,N/A
Cody White,2200,N/A,2000,1900,N/A,N/A
Emanuel Wilson,850,N/A,750,800,N/A,N/A
Tyler Lockett,340,N/A,380,325,N/A,N/A
AJ Barner,850,N/A,850,800,N/A,N/A
Dareke Young,2500,N/A,2000,2400,N/A,N/A
Christian Watson,180,N/A,200,180,N/A,N/A
Green Bay Packers D/ST,475,N/A,N/A,N/A,N/A,N/A
Bo Melton,500,N/A,900,500,N/A,N/A
Tucker Kraft,245,N/A,210,240,N/A,N/A
Dontayvion Wicks,270,N/A,260,270,N/A,N/A
DK Metcalf,160,N/A,170,160,N/A,N/A
Ben Sims,900,N/A,1500,900,N/A,N/A
Kenny McIntosh,425,N/A,550,400,N/A,N/A
Seattle Seahawks D/ST,500,N/A,N/A,N/A,N/A,N/A
Jaelon Darden,1800,N/A,2000,1700,N/A,N/A
Josh Jacobs,-180,N/A,-170,-200,N/A,N/A
Geno Smith,500,N/A,550,500,N/A,N/A
Jaxon Smith-Njigba,200,N/A,190,200,N/A,N/A
Chris Brooks,600,N/A,650,600,N/A,N/A
Jayden Reed,210,N/A,210,210,N/A,N/A
Pharaoh Brown,850,N/A,2100,800,N/A,N/A
Jake Bobo,850,N/A,1000,800,N/A,N/A
Zach Charbonnet,-145,N/A,-135,-167,N/A,N/A
John FitzPatrick,900,N/A,2900,900,N/A,N/A
Marcedes Lewis,3000,N/A,N/A,2900,N/A,N/A
Brandon Powell,1200,N/A,N/A,1100,N/A,N/A
Tyler Scott,2200,N/A,N/A,1900,N/A,N/A
Chicago Bears D/ST,550,N/A,N/A,N/A,N/A,N/A
Johnny Mundt,600,N/A,N/A,600,N/A,N/A
Sam Darnold,390,N/A,N/A,350,N/A,N/A
DJ Moore,200,N/A,N/A,200,N/A,N/A
Aaron Jones,-140,N/A,N/A,-143,N/A,N/A
Justin Jefferson,100,N/A,N/A,100,N/A,N/A
Jordan Addison,180,N/A,N/A,180,N/A,N/A
T.J. Hockenson,210,N/A,N/A,210,N/A,N/A
Rome Odunze,275,N/A,N/A,270,N/A,N/A
C.J. Ham,1000,N/A,N/A,1000,N/A,N/A
Minnesota Vikings D/ST,475,N/A,N/A,N/A,N/A,N/A
Josh Oliver,500,N/A,N/A,500,N/A,N/A
Darrynton Evans,1200,N/A,N/A,N/A,N/A,N/A
DeAndre Carter,1300,N/A,N/A,N/A,N/A,N/A
Cole Kmet,320,N/A,N/A,300,N/A,N/A
Trent Sherfield,1200,N/A,N/A,1100,N/A,N/A
Gerald Everett,1600,N/A,N/A,1400,N/A,N/A
Cam Akers,275,N/A,N/A,270,N/A,N/A
Keenan Allen,245,N/A,N/A,240,N/A,N/A
Roschon Johnson,255,N/A,N/A,250,N/A,N/A
Jalen Nailor,550,N/A,N/A,550,N/A,N/A
D'Andre Swift,140,N/A,N/A,140,N/A,N/A
Caleb Williams,400,N/A,N/A,400,N/A,N/A
Ty Chandler,850,N/A,N/A,800,N/A,N/A
Avery Williams,1400,N/A,N/A,1400,N/A,N/A
Terrace Marshall Jr.,650,N/A,N/A,650,N/A,N/A
Darnell Mooney,190,N/A,N/A,190,N/A,N/A
Harrison Bryant,1600,N/A,N/A,1400,N/A,N/A
Charlie Woerner,1200,N/A,N/A,1100,N/A,N/A
Jase McClellan,1500,N/A,N/A,N/A,N/A,N/A
Ross Dwelley,1500,N/A,N/A,1400,N/A,N/A
Brock Bowers,140,N/A,N/A,140,N/A,N/A
Bijan Robinson,-155,N/A,N/A,-167,N/A,N/A
Tyler Allgeier,180,N/A,N/A,180,N/A,N/A
Drake London,130,N/A,N/A,130,N/A,N/A
Las Vegas Raiders D/ST,550,N/A,N/A,N/A,N/A,N/A
Jakobi Meyers,160,N/A,N/A,160,N/A,N/A
Kirk Cousins,1100,N/A,N/A,1100,N/A,N/A
Ray-Ray McCloud III,255,N/A,N/A,250,N/A,N/A
Atlanta Falcons D/ST,500,N/A,N/A,N/A,N/A,N/A
Sincere McCormick,100,N/A,N/A,100,N/A,N/A
