Player,DraftKings,BetOnline.ag,FanDuel,BetRivers,BetMGM,Bovada
Jake Ferguson,N/A,N/A,N/A,N/A,N/A,225
Jayden Daniels,N/A,N/A,N/A,N/A,N/A,130
Rico Dowdle,N/A,N/A,N/A,N/A,N/A,-106
Olamide Zaccheaus,N/A,N/A,N/A,N/A,N/A,260
Austin Ekeler,N/A,N/A,N/A,N/A,N/A,185
Terry McLaurin,N/A,N/A,N/A,N/A,N/A,125
Brian Robinson Jr.,N/A,N/A,N/A,N/A,N/A,-121
Sterling Shepard,N/A,N/A,N/A,N/A,N/A,275
Adam Prentice,N/A,N/A,N/A,N/A,N/A,1400
Jamaal Williams,N/A,N/A,N/A,N/A,N/A,300
Juwan Johnson,N/A,N/A,N/A,N/A,N/A,330
Cedrick Wilson Jr.,N/A,N/A,N/A,N/A,N/A,550
Dante Pettis,N/A,N/A,N/A,N/A,N/A,600
Payne Durham,N/A,N/A,N/A,N/A,N/A,330
Foster Moreau,N/A,N/A,N/A,N/A,N/A,400
Clyde Edwards-Helaire,N/A,N/A,N/A,N/A,N/A,220
Sean Tucker,N/A,N/A,N/A,N/A,N/A,650
Spencer Rattler,N/A,N/A,N/A,N/A,N/A,450
Trey Palmer,N/A,N/A,N/A,N/A,N/A,650
Ryan Miller,N/A,N/A,N/A,N/A,N/A,500
Baker Mayfield,N/A,N/A,N/A,N/A,N/A,330
Rakim Jarrett,N/A,N/A,N/A,N/A,N/A,650
Chris Olave,N/A,N/A,N/A,N/A,N/A,275
Jordan Mims,N/A,N/A,N/A,N/A,N/A,500
Kevin Austin,N/A,N/A,N/A,N/A,N/A,350
Bucky Irving,N/A,N/A,N/A,N/A,N/A,-152
Mike Evans,N/A,N/A,N/A,N/A,N/A,-152
Cade Otton,N/A,N/A,N/A,N/A,N/A,210
Jalen McMillan,N/A,N/A,N/A,N/A,N/A,137
Rachaad White,N/A,N/A,N/A,N/A,N/A,120
Kendre Miller,N/A,N/A,N/A,N/A,N/A,160
Alvin Kamara,N/A,N/A,N/A,N/A,N/A,160
Tyreek Hill,N/A,N/A,N/A,N/A,N/A,160
De'Von Achane,N/A,N/A,N/A,N/A,N/A,-121
Breece Hall,N/A,N/A,N/A,N/A,N/A,130
Jaylen Waddle,N/A,N/A,N/A,N/A,N/A,185
Garrett Wilson,N/A,N/A,N/A,N/A,N/A,175
Jonnu Smith,N/A,N/A,N/A,N/A,N/A,210
Davante Adams,N/A,N/A,N/A,N/A,N/A,140
Jeremy Ruckert,N/A,N/A,N/A,N/A,N/A,1100
Aaron Rodgers,N/A,N/A,N/A,N/A,N/A,1100
River Cracraft,N/A,N/A,N/A,N/A,N/A,1000
Tyler Huntley,N/A,N/A,N/A,N/A,N/A,240
Isaiah Davis,N/A,N/A,N/A,N/A,N/A,450
Julian Hill,N/A,N/A,N/A,N/A,N/A,1600
Malik Washington,N/A,N/A,N/A,N/A,N/A,300
Durham Smythe,N/A,N/A,N/A,N/A,N/A,1600
Xavier Gipson,N/A,N/A,N/A,N/A,N/A,1100
Alec Ingold,N/A,N/A,N/A,N/A,N/A,1600
Raheem Mostert,N/A,N/A,N/A,N/A,N/A,375
Tyler Conklin,N/A,N/A,N/A,N/A,N/A,450
Allen Lazard,N/A,N/A,N/A,N/A,N/A,450
Braelon Allen,N/A,N/A,N/A,N/A,N/A,550
Kenny Yeboah,N/A,N/A,N/A,N/A,N/A,1100
