,Player,Model_Odds,Favor,BetRivers,Difference,Model_Probability,BetRivers_Probability,Weight,WeightedValue
0,Greg Dortch,733.3333333333334,1,750.0,-16.66666666666663,0.12,0.11764705882352941,0.88,-0.0020705882352941153
138,Demarcus Robinson,257.1428571428571,1,260.0,-2.8571428571428896,0.28,0.2777777777777778,0.72,-0.0016000000000000103
153,Jalen Nailor,455.55555555555554,1,460.0,-4.444444444444457,0.18,0.17857142857142858,0.8200000000000001,-0.0011714285714285629
25,Quintin Morris,1150.0,1,1150.0,0.0,0.08,0.08,0.92,0.0
124,Derius Davis,900.0,1,900.0,0.0,0.1,0.1,0.9,0.0
223,Bryce Oliver,1900.0,1,1900.0,0.0,0.05,0.05,0.95,0.0
127,Quentin Johnston,233.33333333333337,1,230.0,3.3333333333333712,0.3,0.30303030303030304,0.7,0.002121212121212135
126,Tucker Fisk,1566.6666666666667,1,1500.0,66.66666666666674,0.06,0.0625,0.94,0.002350000000000002
59,Ryan Flournoy,1900.0,1,1800.0,100.0,0.05,0.05263157894736842,0.95,0.0024999999999999944
150,T.J. Hockenson,203.030303030303,1,195.0,8.030303030303003,0.33,0.3389830508474576,0.6699999999999999,0.006018644067796589
207,Pharaoh Brown,2400.0,1,2000.0,400.0,0.04,0.047619047619047616,0.96,0.007314285714285711
212,Cody White,2400.0,1,2000.0,400.0,0.04,0.047619047619047616,0.96,0.007314285714285711
205,AJ Barner,900.0,1,800.0,100.0,0.1,0.1111111111111111,0.9,0.00999999999999999
225,Nick Vannett,1566.6666666666667,1,1300.0,266.66666666666674,0.06,0.07142857142857142,0.94,0.01074285714285714
155,Brandon Powell,1900.0,1,1500.0,400.0,0.05,0.0625,0.95,0.011874999999999997
4,Trey McBride,163.15789473684208,1,148.0,15.157894736842081,0.38000000000000006,0.4032258064516129,0.6199999999999999,0.014399999999999944
211,Jaxon Smith-Njigba,150.0,1,135.0,15.0,0.4,0.425531914893617,0.6,0.015319148936170202
113,DeAndre Hopkins,222.5806451612903,1,200.0,22.580645161290306,0.31,0.3333333333333333,0.69,0.016099999999999986
131,Stone Smartt,3233.333333333333,1,2000.0,1233.333333333333,0.030000000000000002,0.047619047619047616,0.97,0.017090476190476184
227,Josh Whyle,3233.333333333333,1,1600.0,1633.333333333333,0.030000000000000002,0.058823529411764705,0.97,0.02795882352941176
185,Jahan Dotson,900.0,1,650.0,250.0,0.1,0.13333333333333333,0.9,0.029999999999999995
57,Brandin Cooks,376.1904761904762,1,295.0,81.1904761904762,0.21,0.25316455696202533,0.79,0.03410000000000002
42,Mike Gesicki,257.1428571428571,1,205.0,52.14285714285711,0.28,0.32786885245901637,0.72,0.03446557377049177
