,Unnamed: 0,Player,TD_Likelihood,Model_Odds,Favor,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM,Bovada
222,222,Chig Okonkwo,0.18,455.55555555555554,1,,,,,,
103,103,Devin Duvernay,0.18,455.55555555555554,1,500.0,700.0,500.0,550.0,650.0,500.0
159,159,DeMario Douglas,0.18,455.55555555555554,1,,,,,,
209,209,Tyler Lockett,0.17,488.2352941176471,1,330.0,,325.0,295.0,310.0,330.0
133,133,Tutu Atwell,0.17,488.2352941176471,1,850.0,650.0,800.0,600.0,800.0,850.0
161,161,Austin Hooper,0.17,488.2352941176471,1,,,,,,
152,152,Johnny Mundt,0.17,488.2352941176471,1,475.0,500.0,450.0,540.0,600.0,500.0
82,82,Tucker Kraft,0.17,488.2352941176471,1,,,,,,
54,54,Blake Whiteheart,0.16,525.0,1,,,,,,
46,46,Drew Sample,0.16,525.0,1,650.0,1300.0,650.0,700.0,,650.0
58,58,Jake Ferguson,0.16,525.0,1,265.0,290.0,260.0,230.0,,265.0
194,194,George Pickens,0.16,525.0,1,105.0,105.0,100.0,,100.0,105.0
61,61,Jonathan Mingo,0.16,525.0,1,900.0,1200.0,900.0,1000.0,,900.0
110,110,Parker Washington,0.16,525.0,1,280.0,390.0,280.0,245.0,350.0,280.0
99,99,Adonai Mitchell,0.16,525.0,1,,,,,,
65,65,KaVontae Turpin,0.16,525.0,1,450.0,700.0,450.0,900.0,,450.0
221,221,Tyler Boyd,0.15,566.6666666666667,1,280.0,430.0,280.0,360.0,375.0,280.0
148,148,Malik Washington,0.15,566.6666666666667,1,650.0,550.0,650.0,,700.0,650.0
85,85,Christian Watson,0.15,566.6666666666667,1,,,,,,
28,28,Jalen Coker,0.15,566.6666666666667,1,425.0,750.0,400.0,,500.0,390.0
216,216,Jalen McMillan,0.15,566.6666666666667,1,400.0,,400.0,,,400.0
177,177,Malachi Corley,0.15,566.6666666666667,1,475.0,470.0,450.0,,600.0,475.0
18,18,Isaiah Likely,0.15,566.6666666666667,1,,,,,,
195,195,MyCole Pruitt,0.15,566.6666666666667,1,1500.0,1900.0,,,1800.0,1500.0
64,64,Jalen Tolbert,0.15,566.6666666666667,1,310.0,480.0,300.0,320.0,,310.0
108,108,Brenton Strange,0.15,566.6666666666667,1,800.0,1100.0,800.0,800.0,1000.0,800.0
94,94,Mo Alie-Cox,0.14,614.2857142857142,1,,,,,,
71,71,Courtland Sutton,0.14,614.2857142857142,1,,,,,,
129,129,Joshua Palmer,0.14,614.2857142857142,1,350.0,280.0,350.0,310.0,350.0,350.0
226,226,Nick Westbrook-Ikhine,0.14,614.2857142857142,1,195.0,230.0,190.0,175.0,200.0,195.0
75,75,Tim Patrick,0.14,614.2857142857142,1,,,,,,
168,168,Marquez Valdes-Scantling,0.14,614.2857142857142,1,220.0,270.0,220.0,215.0,225.0,225.0
162,162,K.J. Osborn,0.14,614.2857142857142,1,,,,,,
30,30,David Moore,0.13,669.2307692307692,1,500.0,500.0,500.0,400.0,500.0,500.0
111,111,Noah Gray,0.13,669.2307692307692,1,350.0,410.0,350.0,310.0,350.0,350.0
