,Player,TD_Likelihood,Model_Odds,Favor,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM
116,Joshua Palmer,0.26,284.6153846153846,1,,,,,
37,Mike Gesicki,0.26,284.6153846153846,1,295,310,290,285,300
153,Marquez Valdes-Scantling,0.25,300.0,1,,,,,
165,Garrett Wilson,0.25,300.0,1,N/A,N/A,N/A,N/A,N/A
41,Drew Sample,0.24,316.6666666666667,1,1000,1000,1000,1400,900
4,Michael Wilson,0.24,316.6666666666667,1,,,,,
136,Jordan Addison,0.23,334.78260869565213,1,125,120,120,123,N/A
78,Dontayvion Wicks,0.23,334.78260869565213,1,N/A,N/A,N/A,N/A,N/A
97,Brenton Strange,0.23,334.78260869565213,1,,,,,
110,Tre Tucker,0.23,334.78260869565213,1,,,,,
50,Brandin Cooks,0.23,334.78260869565213,1,N/A,N/A,N/A,N/A,N/A
148,Austin Hooper,0.23,334.78260869565213,1,,,,,
102,DeAndre Hopkins,0.23,334.78260869565213,1,450,N/A,N/A,N/A,N/A
10,Kyle Pitts,0.22,354.54545454545456,1,N/A,N/A,N/A,N/A,N/A
213,Olamide Zaccheaus,0.21,376.1904761904762,1,N/A,N/A,N/A,N/A,N/A
46,James Proche II,0.21,376.1904761904762,1,1500,N/A,N/A,N/A,N/A
115,Quentin Johnston,0.21,376.1904761904762,1,,,,,
81,Diontae Johnson,0.21,376.1904761904762,1,,,,,
194,Mike Evans,0.21,376.1904761904762,1,N/A,N/A,N/A,N/A,N/A
117,Stone Smartt,0.2,400.0,1,,,,,
188,Noah Fant,0.2,400.0,1,,,,,
140,Jalen Nailor,0.2,400.0,1,220,440,N/A,460,N/A
176,George Pickens,0.2,400.0,1,115,115,110,108,125
51,Jake Ferguson,0.2,400.0,1,N/A,N/A,N/A,N/A,N/A
144,Kendrick Bourne,0.2,400.0,1,,,,,
168,Grant Calcaterra,0.19,426.31578947368416,1,,,,,
210,Zach Ertz,0.19,426.31578947368416,1,N/A,N/A,N/A,N/A,N/A
72,Tucker Kraft,0.19,426.31578947368416,1,N/A,N/A,N/A,N/A,N/A
55,KaVontae Turpin,0.18,455.55555555555554,1,N/A,N/A,N/A,N/A,N/A
56,Nate Adkins,0.18,455.55555555555554,1,500,N/A,N/A,N/A,N/A
133,Durham Smythe,0.18,455.55555555555554,1,N/A,N/A,N/A,N/A,N/A
113,Will Dissly,0.18,455.55555555555554,1,,,,,
8,Ray-Ray McCloud III,0.18,455.55555555555554,1,N/A,N/A,N/A,N/A,N/A
2,Zay Jones,0.18,455.55555555555554,1,,,,,
193,Payne Durham,0.17,488.2352941176471,1,N/A,N/A,N/A,N/A,N/A
155,Daniel Bellinger,0.17,488.2352941176471,1,,,,,
180,Mike Williams,0.16,525.0,1,500,650,500,410,450
107,Terrace Marshall Jr.,0.16,525.0,1,,,,,
21,Dawson Knox,0.16,525.0,1,,,,,
64,Tim Patrick,0.16,525.0,1,255,280,250,240,N/A
99,Hollywood Brown,0.16,525.0,1,,,,,
58,Lucas Krull,0.16,525.0,1,600,N/A,N/A,N/A,N/A
65,Allen Robinson,0.15,566.6666666666667,1,,,,,
93,Devin Duvernay,0.15,566.6666666666667,1,,,,,
146,DeMario Douglas,0.15,566.6666666666667,1,,,,,
105,Justin Watson,0.15,566.6666666666667,1,475,N/A,N/A,N/A,N/A
82,John Metchie III,0.15,566.6666666666667,1,,,,,
199,Sterling Shepard,0.15,566.6666666666667,1,N/A,N/A,N/A,N/A,N/A
119,Tutu Atwell,0.15,566.6666666666667,1,,,,,
174,Van Jefferson,0.15,566.6666666666667,1,500,500,500,400,450
59,Marvin Mims Jr.,0.14,614.2857142857142,1,230,N/A,N/A,N/A,N/A
40,Andrei Iosivas,0.14,614.2857142857142,1,275,270,270,240,275
49,Jalen Brooks,0.13,669.2307692307692,1,N/A,N/A,N/A,N/A,N/A
39,Tanner Hudson,0.13,669.2307692307692,1,950,1000,900,1400,900
1,Elijah Higgins,0.12,733.3333333333334,1,,,,,
152,Dante Pettis,0.12,733.3333333333334,1,N/A,N/A,N/A,N/A,N/A
11,Charlie Woerner,0.12,733.3333333333334,1,N/A,N/A,N/A,N/A,N/A
206,Josh Whyle,0.12,733.3333333333334,1,,,,,
57,Lil'Jordan Humphrey,0.12,733.3333333333334,1,750,N/A,N/A,N/A,N/A
88,Kylen Granson,0.12,733.3333333333334,1,,,,,
175,Scotty Miller,0.12,733.3333333333334,1,,,,,
34,Cole Kmet,0.11,809.0909090909091,1,N/A,N/A,N/A,N/A,N/A
104,JuJu Smith-Schuster,0.11,809.0909090909091,1,475,N/A,N/A,N/A,N/A
74,Luke Musgrave,0.11,809.0909090909091,1,N/A,N/A,N/A,N/A,N/A
208,Dyami Brown,0.11,809.0909090909091,1,N/A,N/A,N/A,N/A,N/A
42,Jordan Akins,0.11,809.0909090909091,1,750,N/A,N/A,N/A,N/A
96,Josh Reynolds,0.11,809.0909090909091,1,,,,,
149,Kevin Austin Jr.,0.11,809.0909090909091,1,,,,,
100,Noah Gray,0.1,900.0,1,400,N/A,N/A,N/A,N/A
207,John Bates,0.1,900.0,1,N/A,N/A,N/A,N/A,N/A
73,Bo Melton,0.1,900.0,1,N/A,N/A,N/A,N/A,N/A
150,Juwan Johnson,0.1,900.0,1,N/A,N/A,N/A,N/A,N/A
12,Nelson Agholor,0.1,900.0,1,370,N/A,N/A,N/A,N/A
157,Jalin Hyatt,0.09,1011.1111111111111,1,,,,,
26,Velus Jones Jr.,0.09,1011.1111111111111,1,N/A,N/A,N/A,N/A,N/A
23,Curtis Samuel,0.09,1011.1111111111111,1,,,,,
154,Cedrick Wilson Jr.,0.09,1011.1111111111111,1,N/A,N/A,N/A,N/A,N/A
52,Jonathan Mingo,0.09,1011.1111111111111,1,N/A,N/A,N/A,N/A,N/A
204,Nick Vannett,0.09,1011.1111111111111,1,,,,,
196,Ryan Miller,0.09,1011.1111111111111,1,N/A,N/A,N/A,N/A,N/A
195,Rakim Jarrett,0.09,1011.1111111111111,1,N/A,N/A,N/A,N/A,N/A
205,Nick Westbrook-Ikhine,0.09,1011.1111111111111,1,,,,,
139,Johnny Mundt,0.09,1011.1111111111111,1,400,750,N/A,1400,N/A
120,Tyler Higbee,0.09,1011.1111111111111,1,,,,,
123,Hunter Long,0.09,1011.1111111111111,1,,,,,
151,Foster Moreau,0.08,1150.0,1,N/A,N/A,N/A,N/A,N/A
181,Chris Conley,0.08,1150.0,1,,,,,
178,Ben Skowronek,0.08,1150.0,1,1000,1100,1000,1500,1000
85,Mo Alie-Cox,0.08,1150.0,1,,,,,
173,Connor Heyward,0.08,1150.0,1,1300,1600,1300,1000,1400
17,Tylan Wallace,0.08,1150.0,1,475,N/A,N/A,N/A,N/A
61,Adam Trautman,0.08,1150.0,1,360,N/A,N/A,N/A,N/A
111,DJ Chark Jr.,0.07,1328.5714285714284,1,,,,,
98,Parker Washington,0.07,1328.5714285714284,1,,,,,
209,Jamison Crowder,0.07,1328.5714285714284,1,N/A,N/A,N/A,N/A,N/A
179,Darnell Washington,0.07,1328.5714285714284,1,750,1300,750,800,750
201,Mason Kinsey,0.07,1328.5714285714284,1,,,,,
90,Drew Ogletree,0.07,1328.5714285714284,1,,,,,
5,Chris Blair,0.07,1328.5714285714284,1,,,,,
69,Shane Zylstra,0.07,1328.5714285714284,1,1700,1000,N/A,950,N/A
156,Greg Dulcich,0.07,1328.5714285714284,1,,,,,
112,Derius Davis,0.06,1566.6666666666667,1,,,,,
141,Josh Oliver,0.06,1566.6666666666667,1,650,750,N/A,800,N/A
164,Jeremy Ruckert,0.06,1566.6666666666667,1,N/A,N/A,N/A,N/A,N/A
94,Luke Farrell,0.06,1566.6666666666667,1,,,,,
198,Trey Palmer,0.06,1566.6666666666667,1,N/A,N/A,N/A,N/A,N/A
125,Colby Parkinson,0.06,1566.6666666666667,1,,,,,
212,K.J. Osborn,0.05,1900.0,1,,,,,
186,Jake Bobo,0.05,1900.0,1,,,,,
185,Eric Saubert,0.05,1900.0,1,,,,,
27,David Moore,0.05,1900.0,1,N/A,N/A,N/A,N/A,N/A
48,Michael Woods II,0.05,1900.0,1,750,N/A,N/A,N/A,N/A
108,Michael Mayer,0.05,1900.0,1,,,,,
71,Malik Heath,0.05,1900.0,1,,,,,
200,Tyler Boyd,0.05,1900.0,1,,,,,
192,Cody White,0.05,1900.0,1,,,,,
84,Robert Woods,0.05,1900.0,1,,,,,
177,MyCole Pruitt,0.05,1900.0,1,1700,1600,1700,1200,1400
19,Mack Hollins,0.05,1900.0,1,,,,,
114,Tucker Fisk,0.05,1900.0,1,,,,,
128,Dee Eskridge,0.05,1900.0,1,,,,,
95,Tim Jones,0.05,1900.0,1,,,,,
158,Chris Manhertz,0.05,1900.0,1,,,,,
62,Tom Kennedy,0.04,2400.0,1,1800,2100,N/A,2400,N/A
53,Luke Schoonmaker,0.04,2400.0,1,N/A,N/A,N/A,N/A,N/A
187,Pharaoh Brown,0.04,2400.0,1,,,,,
30,Tommy Tremble,0.04,2400.0,1,N/A,N/A,N/A,N/A,N/A
142,Brandon Powell,0.04,2400.0,1,1600,2000,N/A,2200,N/A
87,Ashton Dulin,0.04,2400.0,1,,,,,
47,Blake Whiteheart,0.04,2400.0,1,1400,N/A,N/A,N/A,N/A
80,Xavier Hutchinson,0.04,2400.0,1,,,,,
6,KhaDarel Hodge,0.03,3233.3333333333335,1,N/A,N/A,N/A,N/A,N/A
101,Peyton Hendershot,0.03,3233.3333333333335,1,650,N/A,N/A,N/A,N/A
0,Greg Dortch,0.03,3233.3333333333335,1,,,,,
121,Tyler Johnson,0.03,3233.3333333333335,1,,,,,
89,Will Mallory,0.03,3233.3333333333335,1,,,,,
25,Dan Chisena,0.03,3233.3333333333335,1,,,,,
68,Brock Wright,0.02,4900.0,1,1100,1000,N/A,650,N/A
106,Harrison Bryant,0.02,4900.0,1,,,,,
143,Trent Sherfield Sr.,0.02,4900.0,1,,,,,
166,Kenny Yeboah,0.02,4900.0,1,N/A,N/A,N/A,N/A,N/A
169,Jahan Dotson,0.01,9900.0,1,,,,,
76,Ben Sims,0.01,9900.0,1,N/A,N/A,N/A,N/A,N/A
134,Jack Stoll,0.01,9900.0,1,,,,,
130,Julian Hill,0.01,9900.0,1,N/A,N/A,N/A,N/A,N/A
33,Collin Johnson,0.01,9900.0,1,,,,,
32,Gerald Everett,0.01,9900.0,1,N/A,N/A,N/A,N/A,N/A
118,Davis Allen,0.01,9900.0,1,,,,,
29,Deven Thompkins,0.01,9900.0,1,,,,,
22,Quintin Morris,0.01,9900.0,1,,,,,
