player_id,season,name,pos,team,draft_round,is_te,targets_pg,yards_pg,receptions_pg,roll3_targets,roll3_yards,roll3_receptions,lag_targets,lag_yards,target_share,roll3_long_rec,roll3_target_std,tds_last3,td_streak,td_rate_eb,td_rate_eb_std,lag_snap_pct,roll3_snap_pct,roll3_rz_targets,rz_target_share,rz_td_rate_eb,join_season
4243389,2025,Calvin Austin III,WR,PIT,4,0,3.692307692307693,24.384615384615383,2.1538461538461537,1.3333333333333333,13.0,0.6666666666666666,1.0,8.0,0.3582089552238806,13.0,0.5773502691896258,0.0,0,0.04796745804590371,0.010601185647037343,0.16,0.2466666666666666,0.0,0.0,0.2476481750478776,2026
4243537,2022,Gabe Davis,WR,BUF,0,0,5.928571428571429,56.92857142857143,3.2142857142857144,5.333333333333333,44.0,3.3333333333333335,6.0,45.0,0.5060975609756098,19.0,1.1547005383792517,1.0,1,0.05550967241066136,0.010899245249087976,,,5.0,0.1666666666666666,0.2460661653608371,2023
4243537,2023,Gabe Davis,WR,BUF,0,0,5.266666666666667,49.733333333333334,3.0,3.3333333333333335,50.333333333333336,2.0,3.0,21.0,0.33760683760683763,24.0,2.5166114784235822,1.0,0,0.05601853859239623,0.010996082773747187,,,4.0,0.1846153846153846,0.25456474013436087,2024
4243537,2024,Gabe Davis,WR,JAX,0,0,4.875,29.5,2.375,4.666666666666667,25.666666666666668,2.3333333333333335,4.0,19.0,0.20418848167539266,17.666666666666668,3.0550504633038935,2.0,0,0.0490566922382825,0.01083540824608061,,,0.0,0.0,0.2476481750478776,2025
4243537,2025,Gabe Davis,WR,BUF,0,0,2.2,17.6,1.4,1.6666666666666667,8.666666666666666,1.0,1.0,0.0,0.05188679245283019,7.333333333333333,0.5773502691896258,0.0,0,0.047356055460286164,0.011051974404135573,,,3.0,0.0597014925373134,0.24417535038830757,2026
4244049,2022,Quintin Morris,TE,BUF,0,1,2.0,14.0,1.4,2.3333333333333335,14.0,1.3333333333333333,1.0,3.0,0.07633587786259542,9.666666666666666,2.309401076758503,0.0,0,0.047484971588172296,0.011081270198682333,0.27,0.3066666666666667,1.0,0.0142857142857142,0.24677074054061984,2023
4244049,2023,Quintin Morris,TE,BUF,0,1,1.0,15.0,1.0,1.0,15.0,1.0,1.0,15.0,0.0136986301369863,15.0,2.309401076758503,1.0,1,0.05146824051848091,0.011655818978194283,0.26,0.1966666666666666,1.0,0.0204081632653061,0.2503138092795198,2024
4244049,2024,Quintin Morris,TE,BUF,0,1,1.0,4.0,0.5,1.0,4.666666666666667,0.3333333333333333,1.0,0.0,0.02962962962962963,4.666666666666667,0.0,0.0,0,0.051040929108614776,0.011561784304798303,0.2,0.0766666666666666,0.0,0.0,0.2476481750478776,2025
4244049,2025,Quintin Morris,TE,JAX,0,1,2.0,12.5,1.25,1.6666666666666667,13.0,1.3333333333333333,1.0,5.0,0.01927710843373494,10.666666666666666,0.5773502691896258,0.0,0,0.04774492104075987,0.01114032972054196,0.14,0.2266666666666666,1.0,0.0120481927710843,0.24677074054061984,2026
4244856,2022,Austin Trammell,WR,LAR,0,0,2.0,8.0,1.0,2.0,8.0,1.0,2.0,8.0,0.012121212121212121,8.0,0.5773502691896258,0.0,0,0.048542131190093214,0.011321342789816072,0.16,0.16,0.0,0.0,0.2476481750478776,2023
4244856,2023,Austin Trammell,WR,LAR,0,0,1.0,6.0,1.0,1.0,6.0,1.0,1.0,6.0,0.004166666666666667,6.0,0.0,0.0,0,0.04867759506767144,0.011352084469346596,0.05,0.0366666666666666,0.0,0.0,0.2476481750478776,2024
4244856,2024,Austin Trammell,WR,JAX,0,0,7.0,29.0,4.0,3.5,14.5,2.0,,,0.07142857142857142,10.0,3.5355339059327378,0.0,0,0.04787596598755379,0.011170095943114139,,,0.0,0.0,0.2476481750478776,2025
4244856,2025,Austin Trammell,WR,JAX,0,0,1.5,11.5,0.75,1.6666666666666667,15.333333333333334,1.0,1.0,0.0,0.025423728813559324,10.333333333333334,1.1547005383792517,0.0,0,0.04800773226936553,0.011200021492496704,0.1,0.1533333333333333,0.0,0.0,0.2476481750478776,2026
4245131,2022,Tim Jones,WR,JAX,0,0,1.0,9.0,0.6666666666666666,1.0,9.0,0.6666666666666666,1.0,7.0,0.012875536480686695,9.0,0.0,0.0,0,0.04840741917943441,0.011290766982585217,0.08,0.0633333333333333,0.0,0.0,0.2476481750478776,2023
4245131,2023,Tim Jones,WR,JAX,0,0,2.0,9.5,1.25,2.3333333333333335,10.666666666666666,1.0,1.0,0.0,0.04610951008645533,5.0,2.309401076758503,0.0,0,0.04672183396649052,0.010907786358194246,0.62,0.55,0.0,0.0,0.2476481750478776,2024
4245131,2024,Tim Jones,WR,JAX,0,0,2.0,15.0,1.0,2.0,15.0,1.0,2.0,10.0,0.017937219730941704,15.0,0.0,0.0,0,0.04827345279337337,0.011260355710293303,0.09,0.1533333333333333,0.0,0.0,0.2476481750478776,2025
4245131,2025,Tim Jones,WR,JAX,0,0,5.0,41.0,3.0,1.6666666666666667,13.666666666666666,1.0,,,0.03597122302158273,13.666666666666666,0.5773502691896258,0.0,0,0.0481402258584996,0.01123010764990045,,,0.0,0.0,0.2476481750478776,2026
4248528,2022,Christian Watson,WR,GB,2,0,4.615384615384615,39.0,2.769230769230769,6.333333333333333,35.333333333333336,3.6666666666666665,5.0,11.0,0.31746031746031744,15.333333333333334,1.5275252316519463,0.0,0,0.058568862389537284,0.011480556947269772,0.6,0.6166666666666667,0.0,0.0,0.2476481750478776,2023
4248528,2023,Christian Watson,WR,GB,2,0,5.5,43.875,2.625,6.0,46.0,3.0,7.0,94.0,0.19730941704035873,26.0,1.732050807568877,2.0,2,0.05093718375483355,0.010961457822904485,0.88,0.8033333333333333,7.0,0.1612903225806451,0.2494457168640579,2024
4248528,2024,Christian Watson,WR,GB,2,0,4.0,47.69230769230769,2.230769230769231,4.666666666666667,56.666666666666664,2.3333333333333335,1.0,0.0,0.1890909090909091,31.666666666666668,3.214550253664319,0.0,0,0.047498728349687575,0.01050030286202857,0.43,0.7100000000000001,0.0,0.0,0.2476481750478776,2025
4248528,2025,Christian Watson,WR,GB,2,0,5.444444444444445,55.333333333333336,3.3333333333333335,5.0,45.0,3.0,6.0,17.0,0.2076271186440678,23.333333333333332,1.0000000000000009,2.0,0,0.05523238952639816,0.011318291212410887,0.62,0.62,0.0,0.0,0.2476481750478776,2026
4249030,2023,D.J. Montgomery,WR,IND,0,0,4.0,48.0,2.0,4.0,48.0,2.0,4.0,48.0,0.018691588785046728,34.0,0.5773502691896271,1.0,1,0.051040929108614776,0.011561784304798303,0.63,0.25,0.0,0.0,0.2476481750478776,2024
4249417,2022,Jalen Tolbert,WR,DAL,3,0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,0.01098901098901099,4.0,0.0,0.0,0,0.048542131190093214,0.011321342789816072,0.1,0.1833333333333333,0.0,0.0,0.2476481750478776,2023
4249417,2023,Jalen Tolbert,WR,DAL,3,0,2.75,21.666666666666668,1.6666666666666667,1.3333333333333333,20.0,1.0,1.0,9.0,0.088,18.0,0.5773502691896258,0.0,0,0.04724888423536876,0.010725273348966597,0.38,0.41,3.0,0.03,0.24855253186824613,2024
4249417,2024,Jalen Tolbert,WR,DAL,3,0,4.5625,32.0,2.8125,3.0,20.333333333333332,2.0,4.0,30.0,0.21921921921921922,13.333333333333334,1.0,3.0,3,0.05679957498456034,0.011144604227366347,0.68,0.4833333333333334,0.0,0.0,0.2476481750478776,2025
