,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM,Bovada
Jahan Dotson,475.0,600.0,450.0,650.0,375.0,475.0
Kenneth Gainwell,400.0,600.0,400.0,420.0,400.0,400.0
Xavier Legette,350.0,470.0,350.0,285.0,425.0,400.0
Philadelphia Eagles D/ST,425.0,N/A,N/A,N/A,550.0,425.0
Jonathon Brooks,425.0,390.0,400.0,290.0,450.0,450.0
Ja'Tavion Sanders,425.0,N/A,400.0,540.0,450.0,390.0
Carolina Panthers D/ST,550.0,N/A,N/A,N/A,650.0,550.0
Johnny Wilson,650.0,N/A,650.0,750.0,900.0,650.0
Tommy Tremble,475.0,850.0,450.0,600.0,550.0,450.0
David Moore,500.0,500.0,500.0,450.0,500.0,500.0
Jalen Coker,400.0,750.0,400.0,650.0,500.0,390.0
CJ Uzomah,850.0,1300.0,N/A,1000.0,1200.0,850.0
Britain Covey,900.0,N/A,900.0,950.0,900.0,900.0
Bryce Young,650.0,750.0,650.0,600.0,750.0,700.0
Ainias Smith,950.0,1800.0,900.0,1050.0,900.0,1000.0
Feleipe Franks,1400.0,2400.0,1400.0,1800.0,2000.0,1300.0
Will Shipley,1800.0,1800.0,1700.0,1300.0,1400.0,1800.0
Raheem Blackshear,1700.0,3200.0,1700.0,2200.0,2800.0,1700.0
Deven Thompkins,1700.0,2500.0,1700.0,2200.0,1800.0,1700.0
Najee Harris,-130.0,-135.0,-143.0,N/A,-135.0,-130.0
George Pickens,105.0,105.0,100.0,N/A,100.0,105.0
Jaylen Warren,210.0,190.0,210.0,N/A,210.0,210.0
Nick Chubb,170.0,180.0,170.0,N/A,165.0,170.0
Jerry Jeudy,185.0,210.0,180.0,N/A,175.0,185.0
Calvin Austin III,265.0,360.0,260.0,N/A,310.0,265.0
David Njoku,225.0,240.0,220.0,N/A,225.0,225.0
Pat Freiermuth,300.0,300.0,300.0,N/A,275.0,300.0
Elijah Moore,255.0,250.0,250.0,N/A,275.0,255.0
Mike Williams,340.0,460.0,325.0,N/A,300.0,340.0
Justin Fields,475.0,N/A,N/A,N/A,550.0,475.0
Jerome Ford,400.0,400.0,400.0,N/A,400.0,400.0
Van Jefferson,500.0,360.0,500.0,N/A,600.0,500.0
Pittsburgh Steelers D/ST,425.0,N/A,N/A,N/A,500.0,425.0
Cleveland Browns D/ST,475.0,N/A,N/A,N/A,550.0,475.0
Darnell Washington,500.0,460.0,500.0,N/A,500.0,500.0
Jamari Thrash,550.0,550.0,550.0,N/A,550.0,550.0
Russell Wilson,650.0,650.0,650.0,N/A,625.0,650.0
Cordarrelle Patterson,800.0,900.0,800.0,N/A,900.0,800.0
Jameis Winston,700.0,800.0,700.0,N/A,750.0,700.0
Kadarius Toney,700.0,550.0,N/A,N/A,N/A,700.0
Michael Woods II,700.0,600.0,N/A,N/A,750.0,N/A
Scott Miller,1000.0,N/A,1000.0,N/A,1100.0,1000.0
Jordan Akins,900.0,750.0,900.0,N/A,1000.0,900.0
Pierre Strong Jr.,950.0,N/A,900.0,N/A,1100.0,1000.0
Ben Skowronek,1200.0,1600.0,1100.0,N/A,1500.0,1200.0
Connor Heyward,1500.0,2100.0,1400.0,N/A,2000.0,1500.0
MyCole Pruitt,1500.0,1900.0,N/A,N/A,1800.0,1500.0
Tony Pollard,-120.0,-120.0,-125.0,-167.0,-115.0,-121.0
Travis Etienne Jr.,155.0,195.0,150.0,133.0,175.0,155.0
Calvin Ridley,180.0,200.0,180.0,150.0,200.0,180.0
Nick Westbrook-Ikhine,195.0,230.0,190.0,175.0,200.0,195.0
Brian Thomas Jr,240.0,220.0,190.0,165.0,240.0,240.0
Tank Bigsby,250.0,240.0,250.0,180.0,260.0,250.0
Tyler Boyd,280.0,430.0,280.0,360.0,375.0,280.0
Chigoziem Okonkwo,320.0,470.0,300.0,370.0,400.0,320.0
Parker Washington,280.0,390.0,280.0,245.0,350.0,280.0
Evan Engram,270.0,330.0,270.0,270.0,275.0,270.0
Tyjae Spears,400.0,380.0,400.0,230.0,400.0,400.0
Will Levis,450.0,470.0,450.0,350.0,500.0,450.0
Tennessee Titans D/ST,400.0,N/A,N/A,N/A,550.0,400.0
Jacksonville Jaguars D/ST,400.0,N/A,N/A,N/A,600.0,400.0
Devin Duvernay,500.0,700.0,500.0,550.0,650.0,500.0
Josh Whyle,750.0,1100.0,750.0,1600.0,1000.0,750.0
Mac Jones,650.0,750.0,650.0,850.0,800.0,650.0
Nick Vannett,750.0,1100.0,750.0,1300.0,1400.0,750.0
Brenton Strange,800.0,1100.0,800.0,800.0,1000.0,800.0
Luke Farrell,1000.0,2100.0,1000.0,2200.0,1500.0,1000.0
D'Ernest Johnson,1000.0,N/A,1000.0,1050.0,1200.0,1000.0
Jha'Quan Jackson,1400.0,1700.0,1400.0,1200.0,1600.0,1400.0
Tim Jones,1300.0,1700.0,1300.0,1000.0,1400.0,1300.0
Julius Chestnut,1500.0,2600.0,1400.0,1300.0,1600.0,1500.0
Keilan Robinson,2500.0,N/A,2400.0,1050.0,N/A,2500.0
Bucky Irving,-120.0,N/A,-125.0,N/A,N/A,-121.0
Rachaad White,-115.0,N/A,-125.0,N/A,N/A,-115.0
Mike Evans,105.0,N/A,100.0,N/A,N/A,105.0
Cade Otton,155.0,N/A,150.0,N/A,N/A,155.0
Ameer Abdullah,165.0,N/A,160.0,N/A,N/A,165.0
Sterling Shepard,220.0,N/A,220.0,N/A,N/A,220.0
Sincere McCormick,175.0,N/A,170.0,N/A,N/A,175.0
Brock Bowers,160.0,N/A,160.0,N/A,N/A,160.0
Jakobi Meyers,180.0,N/A,180.0,N/A,N/A,180.0
Sean Tucker,340.0,N/A,325.0,N/A,N/A,340.0
Baker Mayfield,350.0,N/A,350.0,N/A,N/A,350.0
Jalen McMillan,400.0,N/A,400.0,N/A,N/A,400.0
Tre Tucker,280.0,N/A,280.0,N/A,N/A,280.0
Tampa Bay Buccaneers D/ST,450.0,N/A,N/A,N/A,N/A,450.0
Las Vegas Raiders D/ST,500.0,N/A,N/A,N/A,N/A,500.0
Trey Palmer,650.0,N/A,650.0,N/A,N/A,650.0
Rakim Jarrett,700.0,N/A,700.0,N/A,N/A,700.0
DJ Turner,500.0,N/A,N/A,N/A,N/A,500.0
Dylan Laube,500.0,N/A,500.0,N/A,N/A,500.0
Michael Mayer,600.0,N/A,600.0,N/A,N/A,600.0
Terrace Marshall Jr.,600.0,N/A,600.0,N/A,N/A,600.0
Payne Durham,1000.0,N/A,1000.0,N/A,N/A,1000.0
Ryan Miller,1100.0,N/A,1100.0,N/A,N/A,1100.0
Ko Kieft,1400.0,N/A,1400.0,N/A,N/A,1400.0
Aidan O'Connell,850.0,N/A,800.0,N/A,N/A,850.0
Ramel Keyton,1100.0,N/A,1100.0,N/A,N/A,1100.0
Justin Shorter,1600.0,N/A,1400.0,N/A,N/A,1600.0
De'Von Achane,-170.0,-140.0,-200.0,N/A,-185.0,-170.0
Tyreek Hill,115.0,120.0,110.0,N/A,125.0,115.0
Breece Hall,110.0,115.0,110.0,N/A,115.0,110.0
Braelon Allen,145.0,115.0,140.0,N/A,150.0,145.0
Jonnu Smith,175.0,195.0,170.0,N/A,180.0,175.0
Davante Adams,160.0,175.0,160.0,N/A,170.0,160.0
Jaylen Waddle,195.0,190.0,190.0,N/A,210.0,195.0
Garrett Wilson,175.0,200.0,170.0,N/A,175.0,175.0
Raheem Mostert,330.0,320.0,325.0,N/A,333.0,330.0
Tyler Conklin,310.0,500.0,300.0,N/A,450.0,310.0
Tua Tagovailoa,500.0,900.0,500.0,N/A,900.0,500.0
Isaiah Davis,400.0,430.0,400.0,N/A,500.0,400.0
Miami Dolphins D/ST,425.0,N/A,N/A,N/A,500.0,425.0
Jaylen Wright,550.0,950.0,550.0,N/A,700.0,550.0
New York Jets D/ST,500.0,N/A,N/A,N/A,600.0,500.0
Malachi Corley,475.0,490.0,450.0,N/A,600.0,475.0
Malik Washington,650.0,550.0,650.0,N/A,700.0,650.0
Kene Nwangwu,700.0,950.0,700.0,N/A,900.0,N/A
Alec Ingold,950.0,1200.0,900.0,N/A,1200.0,1000.0
Odell Beckham Jr.,850.0,750.0,800.0,N/A,850.0,850.0
Xavier Gipson,650.0,1200.0,650.0,N/A,900.0,650.0
Aaron Rodgers,850.0,1200.0,800.0,N/A,1200.0,850.0
Jeremy Ruckert,1000.0,1100.0,1000.0,N/A,1200.0,1000.0
River Cracraft,1400.0,1600.0,1400.0,N/A,1600.0,1400.0
Jeff Wilson Jr.,1900.0,2700.0,1900.0,N/A,2200.0,1900.0
Kenny Yeboah,1500.0,2900.0,1400.0,N/A,1800.0,1500.0
Irvin Charles,1600.0,2900.0,1400.0,N/A,2200.0,1600.0
